-0.14,0.03,0.99
-0.13,0.03,1.00
-0.13,0.03,1.01
-0.14,0.03,1.02
-0.15,0.03,1.01
-0.16,0.02,0.99
-0.17,0.01,0.97
-0.16,0.01,0.98
-0.14,0.03,1.00
-0.13,0.03,1.00
-0.13,0.03,1.01
-0.14,0.02,0.99
-0.14,0.02,1.00
-0.14,0.02,1.00
-0.15,0.02,0.99
-0.15,0.02,0.99
-0.14,0.03,0.99
-0.15,0.02,1.00
-0.15,0.02,1.00
-0.14,0.03,0.99
-0.14,0.03,1.00
-0.14,0.02,1.01
-0.15,0.02,1.00
-0.14,0.03,1.00
-0.15,0.02,1.00
-0.15,0.01,0.99
-0.15,0.02,0.99
-0.14,0.02,1.00
-0.14,0.03,0.99
-0.15,0.02,1.00
-0.15,0.02,1.00
-0.15,0.02,1.00
-0.14,0.01,0.99
-0.14,0.02,1.00
-0.13,0.02,1.00
-0.14,0.03,1.00
-0.16,0.02,0.99
-0.17,0.01,0.98
-0.16,0.01,0.98
-0.13,0.02,1.01
-0.13,0.02,1.00
-0.14,0.02,1.01
-0.15,0.03,1.01
-0.14,0.03,0.99
-0.14,0.03,0.99
-0.15,0.02,0.99
-0.15,0.02,0.99
-0.14,0.02,1.00
-0.14,0.02,1.00
-0.15,0.02,0.99
-0.15,0.02,0.99
-0.14,0.03,0.99
-0.14,0.03,0.99
-0.15,0.02,1.00
-0.14,0.02,0.99
-0.14,0.02,0.99
-0.13,0.02,1.00
-0.14,0.02,1.00
-0.14,0.02,1.00
-0.14,0.02,1.01
-0.14,0.02,1.00
-0.14,0.02,1.00
-0.13,0.03,1.00
-0.14,0.03,0.99
-0.15,0.02,1.01
-0.15,0.00,0.99
-0.15,0.00,0.99
-0.15,0.00,0.99
-0.15,0.00,0.98
-0.16,-0.00,0.98
-0.14,0.02,1.01
-0.14,0.02,1.00
-0.14,0.02,0.99
-0.15,0.01,1.01
-0.14,0.01,1.01
-0.14,0.01,1.00
-0.15,0.01,1.02
-0.14,0.00,1.00
-0.14,0.00,1.00
-0.13,0.00,1.00
-0.14,0.00,1.00
-0.15,0.01,1.00
-0.15,0.02,1.00
-0.15,0.02,0.99
-0.15,0.02,0.98
-0.16,0.02,0.97
-0.16,0.02,0.97
-0.16,0.02,0.99
-0.15,0.02,1.00
-0.14,0.02,1.01
-0.13,0.01,1.02
-0.13,0.00,1.02
-0.14,0.01,1.01
-0.14,0.01,1.00
-0.15,0.01,0.99
-0.15,0.01,0.98
-0.15,0.02,0.99
-0.15,0.01,0.99
-0.15,0.01,0.99
-0.15,0.01,1.00
-0.14,0.01,0.99
-0.14,0.02,1.00
-0.15,0.01,0.99
-0.16,0.01,0.99
-0.16,0.01,0.99
-0.15,0.01,0.99
-0.14,0.01,0.99
-0.12,0.02,1.01
-0.14,0.01,1.00
-0.15,0.00,1.00
-0.15,0.00,1.00
-0.15,0.01,1.00
-0.15,0.01,1.00
-0.15,0.01,1.00
-0.15,0.01,0.99
-0.15,0.01,0.99
-0.15,0.02,0.99
-0.15,0.02,0.99
-0.14,0.02,1.00
-0.15,0.01,1.00
-0.15,0.00,0.99
-0.15,0.01,1.00
-0.15,0.01,1.01
-0.14,0.01,0.98
-0.15,0.01,0.99
-0.15,0.02,1.01
-0.15,0.01,0.99
-0.15,0.01,1.00
-0.15,0.01,0.98
-0.15,0.01,0.98
-0.14,0.01,1.01
-0.14,0.01,0.99
-0.15,0.02,1.01
-0.15,0.01,0.99
-0.15,0.01,0.98
-0.15,0.01,1.00
-0.15,0.01,1.00
-0.15,0.01,1.00
-0.14,0.01,1.01
-0.14,0.02,0.99
-0.14,0.02,0.99
-0.15,0.01,0.99
-0.16,0.00,0.98
-0.16,0.01,1.00
-0.15,0.01,0.99
-0.15,0.02,0.99
-0.14,0.02,1.00
-0.15,0.01,0.99
-0.15,0.01,1.00
-0.15,0.01,1.00
-0.15,0.01,0.98
-0.15,0.01,0.99
-0.15,0.01,0.99
-0.14,0.01,1.00
-0.14,0.02,1.01
-0.15,0.01,1.00
-0.15,0.01,1.01
-0.15,0.01,1.01
-0.15,0.00,0.99
-0.16,-0.02,0.97
-0.15,-0.01,0.98
-0.14,0.02,1.00
-0.15,0.01,1.00
-0.17,-0.00,0.99
-0.17,-0.00,1.00
-0.15,0.00,1.00
-0.14,0.01,1.00
-0.15,-0.00,0.98
-0.16,-0.01,0.99
-0.15,0.01,1.01
-0.15,0.01,1.00
-0.16,0.00,0.99
-0.16,-0.01,0.98
-0.16,-0.00,0.99
-0.16,0.00,1.00
-0.15,0.00,1.00
-0.15,0.00,1.00
-0.15,0.00,1.00
-0.16,0.00,1.00
-0.16,0.00,0.99
-0.15,0.00,0.99
-0.16,-0.00,0.99
-0.16,-0.01,0.98
-0.15,0.00,1.00
-0.15,0.00,1.00
-0.15,0.00,1.00
-0.15,0.00,0.99
-0.16,0.01,1.00
-0.16,0.00,1.00
-0.16,-0.01,0.98
-0.15,0.00,1.00
-0.15,0.01,1.01
-0.15,0.01,1.00
-0.16,0.00,1.00
-0.16,-0.00,0.99
-0.16,0.00,1.00
-0.15,0.00,0.99
-0.16,-0.00,0.99
-0.16,-0.00,1.00
-0.15,0.00,0.99
-0.15,0.01,1.00
-0.15,-0.00,0.99
-0.16,0.00,1.00
-0.16,0.00,1.00
-0.16,-0.00,0.99
-0.16,0.00,0.99
-0.15,0.00,1.00
-0.15,0.01,1.01
-0.16,-0.00,0.99
-0.16,-0.01,1.00
-0.14,0.00,1.02
-0.13,0.01,1.03
-0.15,0.01,1.05
-0.18,-0.01,1.08
-0.22,-0.01,1.13
-0.26,-0.04,1.20
-0.25,-0.11,1.33
-0.20,-0.15,1.16
-0.22,-0.15,1.22
-0.17,-0.09,1.35
-0.05,-0.02,1.38
-0.09,-0.09,1.48
