0.0485,0.0348,0.9934,0.0032,-0.0085,0.0053,1.000000,0.000292,-0.000407,0.000000,0.4673,0.3355,-0.0641
0.0480,0.0315,1.0079,0.0032,-0.0043,-0.0011,0.999999,0.000566,-0.000825,0.000000,0.4542,0.2977,0.0789
0.0463,0.0330,1.0101,-0.0011,-0.0053,-0.0075,0.999999,0.000856,-0.001232,-0.000000,0.4293,0.3063,0.1010
0.0458,0.0316,1.0087,0.0053,-0.0117,0.0000,0.999998,0.001141,-0.001644,-0.000000,0.4164,0.2875,0.0871
0.0499,0.0343,1.0081,0.0170,-0.0138,0.0213,0.999997,0.001424,-0.002057,0.000001,0.4489,0.3082,0.0819
0.0458,0.0302,1.0096,0.0298,-0.0181,0.0341,0.999996,0.001700,-0.002476,0.000002,0.3999,0.2620,0.0976
0.0435,0.0273,1.0099,0.0266,-0.0202,0.0426,0.999994,0.001965,-0.002901,0.000004,0.3687,0.2292,0.1002
0.0365,0.0256,1.0089,0.0043,-0.0362,-0.0032,0.999992,0.002254,-0.003311,0.000004,0.2924,0.2068,0.0906
0.0398,0.0265,1.0088,0.0330,-0.0415,0.0096,0.999990,0.002531,-0.003730,0.000005,0.3164,0.2097,0.0900
0.0596,0.0376,1.0088,0.0128,0.0021,0.0266,0.999987,0.002797,-0.004154,0.000006,0.5020,0.3134,0.0926
0.0526,0.0291,1.0060,0.0021,0.0234,0.0096,0.999985,0.003031,-0.004595,0.000006,0.4253,0.2251,0.0645
0.0532,0.0322,1.0107,-0.0085,0.0352,0.0107,0.999982,0.003286,-0.005023,0.000007,0.4223,0.2509,0.1120
0.0397,0.0278,1.0084,-0.0202,0.0501,0.0149,0.999979,0.003576,-0.005427,0.000008,0.2817,0.2022,0.0879
0.0392,0.0265,1.0084,-0.0128,0.0181,0.0064,0.999976,0.003858,-0.005839,0.000008,0.2687,0.1835,0.0881
0.0452,0.0286,1.0092,-0.0053,0.0075,0.0064,0.999972,0.004122,-0.006263,0.000008,0.3189,0.1985,0.0965
0.0493,0.0288,1.0077,-0.0138,0.0117,-0.0053,0.999968,0.004365,-0.006699,0.000008,0.3512,0.1962,0.0831
0.0475,0.0304,1.0089,-0.0245,0.0107,-0.0256,0.999964,0.004632,-0.007120,0.000007,0.3247,0.2064,0.0954
0.0471,0.0319,1.0092,-0.0352,0.0107,-0.0458,0.999960,0.004914,-0.007532,0.000005,0.3129,0.2151,0.0982
0.0461,0.0309,1.0093,-0.0256,0.0064,-0.0405,0.999955,0.005193,-0.007946,0.000003,0.2951,0.2000,0.0995
0.0480,0.0309,1.0081,-0.0011,0.0053,-0.0075,0.999950,0.005462,-0.008367,0.000003,0.3050,0.1948,0.0882
0.0505,0.0314,1.0088,-0.0043,0.0096,-0.0021,0.999945,0.005720,-0.008794,0.000003,0.3215,0.1944,0.0962
0.0497,0.0303,1.0077,-0.0011,0.0107,0.0011,0.999940,0.005973,-0.009225,0.000003,0.3048,0.1788,0.0856
0.0493,0.0311,1.0078,0.0032,0.0064,0.0053,0.999934,0.006237,-0.009649,0.000004,0.2928,0.1819,0.0871
0.0494,0.0295,1.0082,0.0085,0.0032,0.0075,0.999928,0.006484,-0.010084,0.000004,0.2853,0.1614,0.0909
0.0505,0.0295,1.0077,0.0064,0.0043,0.0117,0.999922,0.006723,-0.010522,0.000005,0.2875,0.1567,0.0867
0.0491,0.0297,1.0090,0.0075,0.0043,0.0277,0.999916,0.006974,-0.010955,0.000007,0.2643,0.1528,0.0998
0.0498,0.0282,1.0094,0.0096,0.0021,0.0341,0.999909,0.007201,-0.011400,0.000009,0.2626,0.1339,0.1037
0.0486,0.0295,1.0088,0.0096,-0.0043,0.0362,0.999902,0.007454,-0.011831,0.000011,0.2422,0.1421,0.0979
0.0524,0.0271,1.0072,0.0064,0.0021,0.0352,0.999895,0.007649,-0.012291,0.000013,0.2706,0.1145,0.0832
0.0508,0.0287,1.0096,-0.0096,0.0075,0.0309,0.999888,0.007876,-0.012736,0.000015,0.2456,0.1252,0.1072
0.0482,0.0293,1.0084,-0.0117,0.0085,0.0298,0.999880,0.008131,-0.013165,0.000017,0.2123,0.1264,0.0950
0.0464,0.0283,1.0085,-0.0053,0.0021,0.0245,0.999872,0.008388,-0.013593,0.000018,0.1858,0.1117,0.0958
0.0494,0.0293,1.0096,-0.0043,0.0053,0.0053,0.999864,0.008633,-0.014029,0.000018,0.2068,0.1162,0.1078
0.0500,0.0284,1.0076,-0.0064,0.0064,-0.0107,0.999856,0.008859,-0.014474,0.000019,0.2045,0.1037,0.0877
0.0493,0.0303,1.0079,-0.0096,0.0053,-0.0149,0.999847,0.009120,-0.014899,0.000018,0.1888,0.1164,0.0916
0.0498,0.0292,1.0094,-0.0107,0.0011,-0.0117,0.999839,0.009359,-0.015338,0.000018,0.1845,0.1007,0.1061
0.0497,0.0294,1.0095,-0.0107,0.0021,-0.0021,0.999829,0.009604,-0.015773,0.000018,0.1746,0.0982,0.1075
0.0502,0.0291,1.0094,-0.0128,0.0053,-0.0032,0.999820,0.009836,-0.016215,0.000018,0.1707,0.0900,0.1066
0.0504,0.0299,1.0092,-0.0160,0.0043,-0.0107,0.999811,0.010082,-0.016649,0.000018,0.1646,0.0936,0.1047
0.0508,0.0306,1.0095,-0.0117,0.0064,-0.0160,0.999801,0.010338,-0.017077,0.000018,0.1595,0.0956,0.1087
0.0508,0.0297,1.0092,-0.0107,0.0064,-0.0160,0.999791,0.010575,-0.017516,0.000017,0.1509,0.0814,0.1051
0.0504,0.0300,1.0088,-0.0021,0.0032,-0.0043,0.999780,0.010825,-0.017949,0.000017,0.1389,0.0801,0.1016
0.0515,0.0297,1.0087,0.0107,0.0043,0.0085,0.999770,0.011052,-0.018394,0.000019,0.1409,0.0720,0.1009
0.0531,0.0303,1.0096,0.0117,0.0075,0.0170,0.999759,0.011276,-0.018840,0.000020,0.1472,0.0734,0.1113
0.0532,0.0288,1.0083,-0.0075,0.0128,0.0160,0.999748,0.011460,-0.019304,0.000023,0.1398,0.0556,0.0981
0.0483,0.0289,1.0088,-0.0138,0.0096,0.0107,0.999737,0.011722,-0.019728,0.000023,0.0833,0.0516,0.1011
0.0499,0.0298,1.0083,-0.0117,0.0021,-0.0021,0.999725,0.011980,-0.020155,0.000023,0.0906,0.0549,0.0973
0.0514,0.0309,1.0084,-0.0128,0.0032,-0.0064,0.999713,0.012245,-0.020578,0.000022,0.0965,0.0604,0.0994
0.0515,0.0299,1.0085,-0.0096,0.0053,-0.0064,0.999701,0.012475,-0.021020,0.000022,0.0889,0.0463,0.1005
0.0513,0.0292,1.0084,-0.0096,0.0064,-0.0075,0.999689,0.012680,-0.021475,0.000023,0.0775,0.0350,0.0991
0.0497,0.0298,1.0087,-0.0117,0.0032,-0.0085,0.999676,0.012955,-0.021891,0.000022,0.0536,0.0355,0.1011
0.0516,0.0303,1.0081,-0.0160,0.0021,-0.0138,0.999664,0.013196,-0.022328,0.000022,0.0644,0.0357,0.0961
0.0526,0.0304,1.0083,-0.0075,0.0021,-0.0053,0.999650,0.013418,-0.022774,0.000023,0.0650,0.0324,0.0991
0.0525,0.0310,1.0089,-0.0011,0.0032,0.0000,0.999637,0.013676,-0.023202,0.000023,0.0550,0.0331,0.1052
0.0509,0.0304,1.0093,-0.0011,0.0021,-0.0011,0.999624,0.013958,-0.023613,0.000022,0.0312,0.0214,0.1080
0.0509,0.0299,1.0084,-0.0021,0.0000,-0.0021,0.999610,0.014194,-0.024053,0.000022,0.0229,0.0122,0.0995
0.0525,0.0304,1.0088,-0.0085,0.0000,-0.0075,0.999596,0.014395,-0.024510,0.000024,0.0292,0.0129,0.1040
0.0509,0.0309,1.0085,-0.0117,0.0000,-0.0128,0.999583,0.014789,-0.024815,0.000018,0.0077,0.0100,0.1010
0.0511,0.0306,1.0092,-0.0043,0.0011,-0.0085,0.999568,0.015090,-0.025213,0.000016,0.0019,0.0014,0.1070
0.0520,0.0295,1.0079,-0.0032,0.0000,-0.0043,0.999563,0.014771,-0.025598,0.000029,0.0032,-0.0027,0.0952
0.0513,0.0293,1.0078,-0.0043,0.0021,-0.0032,0.999577,0.014375,-0.025294,0.000035,0.0022,0.0028,0.0936
0.0521,0.0304,1.0103,-0.0021,0.0011,-0.0021,0.999563,0.014780,-0.025586,0.000029,0.0035,0.0049,0.1182
0.0520,0.0297,1.0081,0.0021,0.0011,-0.0032,0.999555,0.014559,-0.026034,0.000041,-0.0055,0.0027,0.0964
0.0511,0.0293,1.0082,-0.0032,0.0011,-0.0043,0.999568,0.014525,-0.025536,0.000034,-0.0040,-0.0003,0.0971
0.0515,0.0289,1.0090,-0.0096,0.0011,-0.0085,0.999578,0.014036,-0.025434,0.000045,0.0012,0.0056,0.1055
0.0519,0.0302,1.0088,-0.0160,0.0021,-0.0138,0.999568,0.014517,-0.025567,0.000034,0.0022,0.0081,0.1037
0.0527,0.0308,1.0096,-0.0128,0.0000,-0.0117,0.999554,0.014918,-0.025862,0.000027,0.0043,0.0059,0.1127
0.0518,0.0297,1.0078,-0.0011,-0.0032,-0.0043,0.999568,0.014564,-0.025511,0.000031,0.0026,0.0027,0.0939
0.0519,0.0298,1.0089,0.0032,-0.0032,0.0000,0.999554,0.014930,-0.025850,0.000027,-0.0034,-0.0037,0.1048
0.0515,0.0295,1.0096,0.0011,0.0011,-0.0032,0.999569,0.014606,-0.025471,0.000029,0.0001,0.0001,0.1117
0.0504,0.0299,1.0087,0.0075,0.0011,-0.0032,0.999578,0.014789,-0.025006,0.000018,-0.0009,0.0004,0.1017
0.0498,0.0300,1.0087,0.0170,0.0000,0.0085,0.999588,0.014899,-0.024519,0.000008,0.0027,-0.0006,0.1014
0.0510,0.0293,1.0090,0.0181,0.0000,0.0075,0.999581,0.014661,-0.024958,0.000021,0.0058,-0.0032,0.1054
0.0531,0.0288,1.0076,0.0213,0.0000,0.0075,0.999571,0.014526,-0.025438,0.000032,0.0174,-0.0049,0.0919
0.0498,0.0289,1.0095,0.0128,-0.0011,0.0053,0.999585,0.014398,-0.024956,0.000028,-0.0063,-0.0017,0.1095
0.0507,0.0269,1.0096,0.0075,-0.0032,0.0032,0.999591,0.013901,-0.025001,0.000042,0.0011,-0.0122,0.1105
0.0521,0.0267,1.0082,0.0064,-0.0011,0.0011,0.999585,0.013587,-0.025390,0.000055,0.0085,-0.0068,0.0969
0.0515,0.0292,1.0099,0.0064,0.0032,0.0011,0.999577,0.014085,-0.025438,0.000043,0.0007,0.0068,0.1140
0.0518,0.0262,1.0092,0.0032,0.0053,0.0021,0.999582,0.013591,-0.025516,0.000057,0.0019,-0.0119,0.1061
0.0520,0.0266,1.0083,-0.0043,0.0053,-0.0011,0.999581,0.013159,-0.025766,0.000071,-0.0003,0.0004,0.0980
0.0521,0.0270,1.0090,-0.0053,0.0011,-0.0011,0.999573,0.013653,-0.025840,0.000059,-0.0009,-0.0059,0.1053
0.0529,0.0269,1.0094,-0.0117,0.0011,-0.0064,0.999570,0.013270,-0.026162,0.000073,-0.0003,0.0003,0.1092
0.0516,0.0282,1.0083,-0.0149,0.0021,-0.0117,0.999573,0.013651,-0.025839,0.000058,-0.0053,0.0063,0.0982
0.0505,0.0275,1.0092,-0.0085,0.0000,-0.0117,0.999586,0.013616,-0.025341,0.000052,-0.0066,-0.0005,0.1058
0.0518,0.0265,1.0083,-0.0011,0.0011,-0.0085,0.999585,0.013185,-0.025595,0.000066,0.0008,-0.0013,0.0978
0.0513,0.0265,1.0098,-0.0064,0.0000,-0.0032,0.999599,0.013022,-0.025123,0.000064,0.0046,0.0016,0.1119
0.0525,0.0272,1.0089,-0.0011,-0.0021,0.0000,0.999585,0.013255,-0.025564,0.000064,0.0082,0.0044,0.1044
0.0527,0.0261,1.0082,0.0000,-0.0021,0.0000,0.999577,0.013009,-0.025999,0.000076,0.0024,-0.0013,0.0970
0.0519,0.0283,1.0093,-0.0075,0.0000,-0.0043,0.999575,0.013483,-0.025843,0.000061,-0.0035,0.0105,0.1079
0.0508,0.0270,1.0096,-0.0032,0.0000,0.0000,0.999589,0.013390,-0.025352,0.000057,-0.0047,-0.0009,0.1106
0.0522,0.0255,1.0094,0.0032,0.0032,0.0011,0.999587,0.012970,-0.025623,0.000071,0.0044,-0.0069,0.1086
0.0507,0.0276,1.0087,-0.0032,0.0053,-0.0128,0.999590,0.013363,-0.025314,0.000057,-0.0046,0.0059,0.1012
0.0524,0.0270,1.0088,-0.0053,0.0053,-0.0160,0.999578,0.013357,-0.025813,0.000063,0.0022,-0.0000,0.1030
0.0526,0.0273,1.0082,-0.0096,0.0043,-0.0138,0.999563,0.013660,-0.026209,0.000060,-0.0030,-0.0023,0.0973
